img_id,img_width,img_height,img_file,cat_id,cat_name,supercategory,ann_id,x,y,width,height,area,recorte_file
20,2049,1537,batch_1/000040.jpg,50,Pop tab,Pop tab,59,1754,479,184,84,15456,recortes\Pop tab\Pop tab_59_000040.jpg
21,2049,1537,batch_1/000043.jpg,10,Food Can,Can,60,602,290,865,1059,916035,recortes\Food Can\Food Can_60_000043.jpg
21,2049,1537,batch_1/000043.jpg,50,Pop tab,Pop tab,61,923,337,227,277,62879,recortes\Pop tab\Pop tab_61_000043.jpg
22,1537,2049,batch_1/000049.jpg,12,Drink can,Can,62,399,502,483,741,357903,recortes\Drink can\Drink can_62_000049.jpg
22,1537,2049,batch_1/000049.jpg,50,Pop tab,Pop tab,63,451,572,158,73,11534,recortes\Pop tab\Pop tab_63_000049.jpg
23,1537,2049,batch_1/000054.jpg,11,Aerosol,Can,64,184,898,494,854,421876,recortes\Aerosol\Aerosol_64_000054.jpg
23,1537,2049,batch_1/000054.jpg,4,Other plastic bottle,Bottle,65,605,259,379,1196,453284,recortes\Other plastic bottle\Other plastic bottle_65_000054.jpg
23,1537,2049,batch_1/000054.jpg,4,Other plastic bottle,Bottle,66,1051,202,486,1078,523908,recortes\Other plastic bottle\Other plastic bottle_66_000054.jpg
23,1537,2049,batch_1/000054.jpg,7,Plastic bottle cap,Bottle cap,67,1263,202,273,302,82446,recortes\Plastic bottle cap\Plastic bottle cap_67_000054.jpg
24,1537,2049,batch_1/000061.jpg,11,Aerosol,Can,68,274,723,663,846,560898,recortes\Aerosol\Aerosol_68_000061.jpg
25,2049,1537,batch_1/000021.jpg,6,Glass bottle,Bottle,69,852,638,687,291,199917,recortes\Glass bottle\Glass bottle_69_000021.jpg
25,2049,1537,batch_1/000021.jpg,39,Other plastic wrapper,Plastic bag & wrapper,70,256,705,678,417,282726,recortes\Other plastic wrapper\Other plastic wrapper_70_000021.jpg
26,2049,1537,batch_1/000022.jpg,6,Glass bottle,Bottle,71,647,1033,820,376,308320,recortes\Glass bottle\Glass bottle_71_000022.jpg
26,2049,1537,batch_1/000022.jpg,39,Other plastic wrapper,Plastic bag & wrapper,72,313,1400,414,135,55890,recortes\Other plastic wrapper\Other plastic wrapper_72_000022.jpg
27,1537,2049,batch_1/000023.jpg,5,Clear plastic bottle,Bottle,73,372,1441,293,221,64753,recortes\Clear plastic bottle\Clear plastic bottle_73_000023.jpg
27,1537,2049,batch_1/000023.jpg,12,Drink can,Can,74,1015,979,190,214,40660,recortes\Drink can\Drink can_74_000023.jpg
27,1537,2049,batch_1/000023.jpg,12,Drink can,Can,75,904,1493,168,166,27888,recortes\Drink can\Drink can_75_000023.jpg
27,1537,2049,batch_1/000023.jpg,12,Drink can,Can,76,683,1550,221,103,22763,recortes\Drink can\Drink can_76_000023.jpg
27,1537,2049,batch_1/000023.jpg,12,Drink can,Can,77,1043,792,144,164,23616,recortes\Drink can\Drink can_77_000023.jpg
27,1537,2049,batch_1/000023.jpg,50,Pop tab,Pop tab,78,1162,1166,18,27,486,recortes\Pop tab\Pop tab_78_000023.jpg
27,1537,2049,batch_1/000023.jpg,7,Plastic bottle cap,Bottle cap,79,371,1437,31,49,1519,recortes\Plastic bottle cap\Plastic bottle cap_79_000023.jpg
28,1537,2049,batch_1/000024.jpg,12,Drink can,Can,80,218,1457,273,273,74529,recortes\Drink can\Drink can_80_000024.jpg
28,1537,2049,batch_1/000024.jpg,12,Drink can,Can,81,634,860,227,232,52664,recortes\Drink can\Drink can_81_000024.jpg
28,1537,2049,batch_1/000024.jpg,5,Clear plastic bottle,Bottle,82,463,1112,126,162,20412,recortes\Clear plastic bottle\Clear plastic bottle_82_000024.jpg
29,1537,2049,batch_1/000027.jpg,12,Drink can,Can,83,668,717,455,655,298025,recortes\Drink can\Drink can_83_000027.jpg
30,1537,2049,batch_1/000028.jpg,45,Disposable food container,Plastic container,84,351,460,910,683,621530,recortes\Disposable food container\Disposable food container_84_000028.jpg
31,1537,2049,batch_1/000030.jpg,12,Drink can,Can,85,604,1052,187,320,59840,recortes\Drink can\Drink can_85_000030.jpg
32,1537,2049,batch_1/000031.jpg,12,Drink can,Can,86,470,1040,413,321,132573,recortes\Drink can\Drink can_86_000031.jpg
33,2049,1537,batch_1/000042.jpg,10,Food Can,Can,87,664,619,239,270,64530,recortes\Food Can\Food Can_87_000042.jpg
33,2049,1537,batch_1/000042.jpg,10,Food Can,Can,88,1179,662,286,265,75790,recortes\Food Can\Food Can_88_000042.jpg
33,2049,1537,batch_1/000042.jpg,50,Pop tab,Pop tab,89,753,722,81,113,9153,recortes\Pop tab\Pop tab_89_000042.jpg
33,2049,1537,batch_1/000042.jpg,50,Pop tab,Pop tab,90,1318,677,65,98,6370,recortes\Pop tab\Pop tab_90_000042.jpg
34,1537,2049,batch_1/000050.jpg,12,Drink can,Can,91,642,854,833,804,669732,recortes\Drink can\Drink can_91_000050.jpg
34,1537,2049,batch_1/000050.jpg,40,Single-use carrier bag,Plastic bag & wrapper,92,124,735,392,550,215600,recortes\Single-use carrier bag\Single-use carrier bag_92_000050.jpg
35,1537,2049,batch_1/000059.jpg,11,Aerosol,Can,93,656,705,319,841,268279,recortes\Aerosol\Aerosol_93_000059.jpg
35,1537,2049,batch_1/000059.jpg,33,Normal paper,Paper,94,744,551,792,777,615384,recortes\Normal paper\Normal paper_94_000059.jpg
35,1537,2049,batch_1/000059.jpg,31,Tissues,Paper,95,975,221,561,326,182886,recortes\Tissues\Tissues_95_000059.jpg
35,1537,2049,batch_1/000059.jpg,13,Toilet tube,Carton,96,1032,281,28,146,4088,recortes\Toilet tube\Toilet tube_96_000059.jpg
36,1537,2049,batch_1/000000.jpg,5,Clear plastic bottle,Bottle,97,710,1225,153,198,30294,recortes\Clear plastic bottle\Clear plastic bottle_97_000000.jpg
37,1537,2049,batch_1/000013.jpg,6,Glass bottle,Bottle,98,811,1123,199,350,69650,recortes\Glass bottle\Glass bottle_98_000013.jpg
38,1537,2049,batch_1/000015.jpg,36,Plastic film,Plastic bag & wrapper,99,1346,1367,191,292,55772,recortes\Plastic film\Plastic film_99_000015.jpg
38,1537,2049,batch_1/000015.jpg,42,Crisp packet,Plastic bag & wrapper,100,828,1058,193,187,36091,recortes\Crisp packet\Crisp packet_100_000015.jpg
39,1537,2049,batch_1/000016.jpg,6,Glass bottle,Bottle,101,593,934,432,238,102816,recortes\Glass bottle\Glass bottle_101_000016.jpg
40,1537,2049,batch_1/000017.jpg,6,Glass bottle,Bottle,102,713,530,191,373,71243,recortes\Glass bottle\Glass bottle_102_000017.jpg
41,1537,2049,batch_1/000025.jpg,12,Drink can,Can,103,323,1055,487,352,171424,recortes\Drink can\Drink can_103_000025.jpg
41,1537,2049,batch_1/000025.jpg,50,Pop tab,Pop tab,104,749,1289,25,86,2150,recortes\Pop tab\Pop tab_104_000025.jpg
41,1537,2049,batch_1/000025.jpg,33,Normal paper,Paper,105,1426,1294,110,273,30030,recortes\Normal paper\Normal paper_105_000025.jpg
42,1537,2049,batch_1/000029.jpg,12,Drink can,Can,106,652,874,425,689,292825,recortes\Drink can\Drink can_106_000029.jpg
43,1537,2049,batch_1/000035.jpg,4,Other plastic bottle,Bottle,107,33,230,602,1316,792232,recortes\Other plastic bottle\Other plastic bottle_107_000035.jpg
43,1537,2049,batch_1/000035.jpg,4,Other plastic bottle,Bottle,108,807,103,710,1613,1145230,recortes\Other plastic bottle\Other plastic bottle_108_000035.jpg
43,1537,2049,batch_1/000035.jpg,23,Glass cup,Cup,109,886,522,314,432,135648,recortes\Glass cup\Glass cup_109_000035.jpg
44,2049,1537,batch_1/000037.jpg,10,Food Can,Can,110,929,557,379,500,189500,recortes\Food Can\Food Can_110_000037.jpg
44,2049,1537,batch_1/000037.jpg,10,Food Can,Can,111,494,531,372,533,198276,recortes\Food Can\Food Can_111_000037.jpg
44,2049,1537,batch_1/000037.jpg,10,Food Can,Can,112,709,271,296,482,142672,recortes\Food Can\Food Can_112_000037.jpg
44,2049,1537,batch_1/000037.jpg,50,Pop tab,Pop tab,113,658,639,137,90,12330,recortes\Pop tab\Pop tab_113_000037.jpg
44,2049,1537,batch_1/000037.jpg,50,Pop tab,Pop tab,114,781,293,101,76,7676,recortes\Pop tab\Pop tab_114_000037.jpg
45,2049,1537,batch_1/000045.jpg,10,Food Can,Can,115,564,1303,522,233,121626,recortes\Food Can\Food Can_115_000045.jpg
45,2049,1537,batch_1/000045.jpg,10,Food Can,Can,116,0,452,437,504,220248,recortes\Food Can\Food Can_116_000045.jpg
45,2049,1537,batch_1/000045.jpg,10,Food Can,Can,117,395,475,424,486,206064,recortes\Food Can\Food Can_117_000045.jpg
45,2049,1537,batch_1/000045.jpg,10,Food Can,Can,118,804,465,339,501,169839,recortes\Food Can\Food Can_118_000045.jpg
45,2049,1537,batch_1/000045.jpg,10,Food Can,Can,119,1128,327,496,648,321408,recortes\Food Can\Food Can_119_000045.jpg
45,2049,1537,batch_1/000045.jpg,10,Food Can,Can,120,1583,315,466,669,311754,recortes\Food Can\Food Can_120_000045.jpg
46,2049,1537,batch_1/000038.jpg,10,Food Can,Can,121,238,686,401,475,190475,recortes\Food Can\Food Can_121_000038.jpg
46,2049,1537,batch_1/000038.jpg,10,Food Can,Can,122,802,410,413,344,142072,recortes\Food Can\Food Can_122_000038.jpg
46,2049,1537,batch_1/000038.jpg,10,Food Can,Can,123,1498,636,405,477,193185,recortes\Food Can\Food Can_123_000038.jpg
46,2049,1537,batch_1/000038.jpg,50,Pop tab,Pop tab,124,392,764,157,80,12560,recortes\Pop tab\Pop tab_124_000038.jpg
46,2049,1537,batch_1/000038.jpg,50,Pop tab,Pop tab,125,1134,570,64,83,5312,recortes\Pop tab\Pop tab_125_000038.jpg
46,2049,1537,batch_1/000038.jpg,50,Pop tab,Pop tab,126,1719,752,140,98,13720,recortes\Pop tab\Pop tab_126_000038.jpg
47,3264,2448,batch_1/000065.JPG,27,Plastic lid,Lid,127,53,480,1041,1047,1089927,recortes\Plastic lid\Plastic lid_127_000065.JPG
47,3264,2448,batch_1/000065.JPG,28,Metal lid,Lid,128,1414,1285,599,594,355806,recortes\Metal lid\Metal lid_128_000065.JPG
47,3264,2448,batch_1/000065.JPG,15,Egg carton,Carton,129,1824,475,1028,735,755580,recortes\Egg carton\Egg carton_129_000065.JPG
47,3264,2448,batch_1/000065.JPG,15,Egg carton,Carton,130,1183,55,1006,1054,1060324,recortes\Egg carton\Egg carton_130_000065.JPG
48,3264,2448,batch_1/000066.JPG,15,Egg carton,Carton,131,413,1120,1143,922,1053846,recortes\Egg carton\Egg carton_131_000066.JPG
49,2448,3264,batch_1/000067.JPG,15,Egg carton,Carton,132,31,194,1700,2107,3581900,recortes\Egg carton\Egg carton_132_000067.JPG
50,2448,3264,batch_1/000068.JPG,55,Plastic straw,Straw,133,898,1777,770,197,151690,recortes\Plastic straw\Plastic straw_133_000068.JPG
51,2448,3264,batch_1/000069.JPG,12,Drink can,Can,134,1050,1654,410,353,144730,recortes\Drink can\Drink can_134_000069.JPG
52,2448,3264,batch_1/000070.JPG,12,Drink can,Can,135,1038,1111,255,637,162435,recortes\Drink can\Drink can_135_000070.JPG
53,2448,3264,batch_1/000071.JPG,14,Other carton,Carton,136,1024,1397,556,592,329152,recortes\Other carton\Other carton_136_000071.JPG
54,2448,3264,batch_1/000072.JPG,42,Crisp packet,Plastic bag & wrapper,137,704,1301,683,591,403653,recortes\Crisp packet\Crisp packet_137_000072.JPG
54,2448,3264,batch_1/000072.JPG,33,Normal paper,Paper,138,1,1413,814,1030,838420,recortes\Normal paper\Normal paper_138_000072.JPG
55,2448,3264,batch_1/000073.JPG,12,Drink can,Can,139,940,837,492,711,349812,recortes\Drink can\Drink can_139_000073.JPG
56,2448,3264,batch_1/000074.JPG,20,Paper cup,Cup,140,1205,1905,211,271,57181,recortes\Paper cup\Paper cup_140_000074.JPG
57,2448,3264,batch_1/000076.JPG,55,Plastic straw,Straw,141,603,1908,382,359,137138,recortes\Plastic straw\Plastic straw_141_000076.JPG
58,2448,3264,batch_1/000078.JPG,34,Paper bag,Paper bag,142,421,1009,1362,1946,2650452,recortes\Paper bag\Paper bag_142_000078.JPG
59,2448,3264,batch_1/000079.JPG,34,Paper bag,Paper bag,143,257,1089,1712,1781,3049072,recortes\Paper bag\Paper bag_143_000079.JPG
60,2448,3264,batch_1/000081.JPG,5,Clear plastic bottle,Bottle,144,749,1972,444,284,126096,recortes\Clear plastic bottle\Clear plastic bottle_144_000081.JPG
60,2448,3264,batch_1/000081.JPG,7,Plastic bottle cap,Bottle cap,145,1135,1972,57,91,5187,recortes\Plastic bottle cap\Plastic bottle cap_145_000081.JPG
61,2448,3264,batch_1/000082.JPG,42,Crisp packet,Plastic bag & wrapper,146,966,1399,525,485,254625,recortes\Crisp packet\Crisp packet_146_000082.JPG
62,2448,3264,batch_1/000083.JPG,20,Paper cup,Cup,147,942,950,494,504,248976,recortes\Paper cup\Paper cup_147_000083.JPG
62,2448,3264,batch_1/000083.JPG,27,Plastic lid,Lid,148,1390,915,278,564,156792,recortes\Plastic lid\Plastic lid_148_000083.JPG
63,2448,3264,batch_1/000084.JPG,21,Disposable plastic cup,Cup,149,701,2191,605,559,338195,recortes\Disposable plastic cup\Disposable plastic cup_149_000084.JPG
63,2448,3264,batch_1/000084.JPG,27,Plastic lid,Lid,150,1070,2180,306,426,130356,recortes\Plastic lid\Plastic lid_150_000084.JPG
63,2448,3264,batch_1/000084.JPG,12,Drink can,Can,151,1090,411,170,148,25160,recortes\Drink can\Drink can_151_000084.JPG
63,2448,3264,batch_1/000084.JPG,12,Drink can,Can,152,1905,284,146,151,22046,recortes\Drink can\Drink can_152_000084.JPG
64,2448,3264,batch_1/000085.JPG,55,Plastic straw,Straw,153,871,1258,841,313,263233,recortes\Plastic straw\Plastic straw_153_000085.JPG
64,2448,3264,batch_1/000085.JPG,9,Broken glass,Broken glass,154,1562,1159,69,96,6624,recortes\Broken glass\Broken glass_154_000085.JPG
64,2448,3264,batch_1/000085.JPG,9,Broken glass,Broken glass,155,2355,1425,74,44,3256,recortes\Broken glass\Broken glass_155_000085.JPG
65,2448,3264,batch_1/000086.JPG,49,Plastic utensils,Plastic utensils,156,1246,1052,407,563,229141,recortes\Plastic utensils\Plastic utensils_156_000086.JPG
66,2448,3264,batch_1/000087.JPG,34,Paper bag,Paper bag,157,1018,1125,358,397,142126,recortes\Paper bag\Paper bag_157_000087.JPG
67,2448,3264,batch_1/000088.JPG,10,Food Can,Can,158,311,1648,865,853,737845,recortes\Food Can\Food Can_158_000088.JPG
67,2448,3264,batch_1/000088.JPG,26,Glass jar,Glass jar,159,1633,1055,724,1196,865904,recortes\Glass jar\Glass jar_159_000088.JPG
67,2448,3264,batch_1/000088.JPG,28,Metal lid,Lid,160,1833,1055,519,365,189435,recortes\Metal lid\Metal lid_160_000088.JPG
67,2448,3264,batch_1/000088.JPG,31,Tissues,Paper,161,829,2,1196,1267,1515332,recortes\Tissues\Tissues_161_000088.JPG
68,2448,3264,batch_1/000090.JPG,10,Food Can,Can,162,608,439,931,1192,1109752,recortes\Food Can\Food Can_162_000090.JPG
68,2448,3264,batch_1/000090.JPG,25,Food waste,Food waste,163,1118,1008,386,380,146680,recortes\Food waste\Food waste_163_000090.JPG
69,3264,2448,batch_1/000091.JPG,54,Squeezable tube,Squeezable tube,164,0,414,2190,1601,3506190,recortes\Squeezable tube\Squeezable tube_164_000091.JPG
69,3264,2448,batch_1/000091.JPG,8,Metal bottle cap,Bottle cap,165,2593,914,582,441,256662,recortes\Metal bottle cap\Metal bottle cap_165_000091.JPG
70,2448,3264,batch_1/000092.JPG,14,Other carton,Carton,166,277,686,1133,1198,1357334,recortes\Other carton\Other carton_166_000092.JPG
70,2448,3264,batch_1/000092.JPG,43,Spread tub,Plastic container,167,1533,926,618,656,405408,recortes\Spread tub\Spread tub_167_000092.JPG
70,2448,3264,batch_1/000092.JPG,39,Other plastic wrapper,Plastic bag & wrapper,168,1535,926,614,525,322350,recortes\Other plastic wrapper\Other plastic wrapper_168_000092.JPG
71,2448,3264,batch_1/000093.JPG,43,Spread tub,Plastic container,169,1278,1841,602,654,393708,recortes\Spread tub\Spread tub_169_000093.JPG
72,2448,3264,batch_1/000094.JPG,36,Plastic film,Plastic bag & wrapper,170,311,729,1507,1739,2620673,recortes\Plastic film\Plastic film_170_000094.JPG
72,2448,3264,batch_1/000094.JPG,25,Food waste,Food waste,171,665,936,1057,1023,1081311,recortes\Food waste\Food waste_171_000094.JPG
73,2448,3264,batch_1/000095.JPG,40,Single-use carrier bag,Plastic bag & wrapper,172,620,1033,1749,2161,3779589,recortes\Single-use carrier bag\Single-use carrier bag_172_000095.JPG
73,2448,3264,batch_1/000095.JPG,53,Shoe,Shoe,173,959,583,366,521,190686,recortes\Shoe\Shoe_173_000095.JPG
73,2448,3264,batch_1/000095.JPG,53,Shoe,Shoe,174,480,541,483,732,353556,recortes\Shoe\Shoe_174_000095.JPG
74,2448,3264,batch_1/000096.JPG,38,Garbage bag,Plastic bag & wrapper,175,597,1008,1218,1126,1371468,recortes\Garbage bag\Garbage bag_175_000096.JPG
75,2448,3264,batch_1/000062.JPG,12,Drink can,Can,176,870,673,620,386,239320,recortes\Drink can\Drink can_176_000062.JPG
75,2448,3264,batch_1/000062.JPG,12,Drink can,Can,177,1447,829,603,661,398583,recortes\Drink can\Drink can_177_000062.JPG
75,2448,3264,batch_1/000062.JPG,5,Clear plastic bottle,Bottle,178,657,1036,835,361,301435,recortes\Clear plastic bottle\Clear plastic bottle_178_000062.JPG
75,2448,3264,batch_1/000062.JPG,50,Pop tab,Pop tab,179,1472,1384,109,44,4796,recortes\Pop tab\Pop tab_179_000062.JPG
75,2448,3264,batch_1/000062.JPG,39,Other plastic wrapper,Plastic bag & wrapper,180,0,2135,440,745,327800,recortes\Other plastic wrapper\Other plastic wrapper_180_000062.JPG
75,2448,3264,batch_1/000062.JPG,39,Other plastic wrapper,Plastic bag & wrapper,181,1963,405,81,47,3807,recortes\Other plastic wrapper\Other plastic wrapper_181_000062.JPG
75,2448,3264,batch_1/000062.JPG,36,Plastic film,Plastic bag & wrapper,182,524,1487,878,1427,1252906,recortes\Plastic film\Plastic film_182_000062.JPG
75,2448,3264,batch_1/000062.JPG,36,Plastic film,Plastic bag & wrapper,183,625,2233,403,461,185783,recortes\Plastic film\Plastic film_183_000062.JPG
75,2448,3264,batch_1/000062.JPG,36,Plastic film,Plastic bag & wrapper,184,1904,49,180,148,26640,recortes\Plastic film\Plastic film_184_000062.JPG
75,2448,3264,batch_1/000062.JPG,0,Aluminium foil,Aluminium foil,185,2016,1783,117,87,10179,recortes\Aluminium foil\Aluminium foil_185_000062.JPG
